service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21065,1,1,1,1,1,1,0,20190901,20270831
21456,1,0,1,0,1,0,0,20190901,20270831
21459,0,1,0,1,0,1,0,20190901,20270831
21463,0,0,0,0,0,0,1,20190901,20270831
21464,1,1,1,1,1,1,1,20190901,20270831
21467,0,0,0,0,0,0,1,20190901,20270831
21477,0,0,0,0,0,1,1,20190901,20270831
22090,1,1,1,1,1,0,0,20190901,20270831
26348,1,1,1,1,1,1,0,20190901,20270831
48765,1,1,1,1,1,0,0,20170401,20230831
48766,1,1,1,1,1,1,1,20170401,20230831
63129,0,0,0,0,0,1,0,20150101,20221231
63467,1,1,1,1,1,1,0,20210301,20221231
63776,1,1,1,1,1,0,1,20150101,20221231
63873,1,1,1,1,1,1,1,20211108,20221231
64054,1,1,1,1,1,1,0,20211108,20221231
64570,1,1,1,1,1,1,0,20150101,20221231
66824,1,1,1,1,1,1,1,20190901,20270830
66834,1,1,1,1,1,1,1,20190901,20270831
67750,1,0,1,0,1,0,0,20190901,20270831
67751,0,1,0,1,0,1,0,20190901,20270831
69937,1,1,1,1,1,1,0,20190901,20270831
70698,0,0,0,0,1,0,0,20150201,20220831
70761,1,1,1,1,1,0,0,20211108,20221231
72295,0,0,0,0,0,0,1,20160301,20240229
72477,0,0,0,0,0,1,0,20160301,20240229
72706,1,1,1,1,1,1,0,20160301,20240229
72839,1,1,1,1,1,0,0,20160301,20240229
72910,0,0,1,0,0,0,0,20160301,20240229
73337,1,1,1,1,1,1,1,20150501,20221231
73346,0,0,0,0,0,1,0,20150501,20221231
73347,0,0,0,0,0,1,0,20150501,20221231
73348,0,0,0,0,0,1,0,20150501,20221231
74142,0,0,0,0,0,1,0,20210920,20230506
74143,0,0,0,0,0,1,0,20210920,20230506
74144,0,0,0,0,0,1,0,20210920,20230506
74393,1,1,1,1,1,1,1,20150601,20221231
74682,1,1,1,1,1,0,0,20150601,20221231
76272,0,0,0,0,0,1,1,20150901,20221231
77091,1,1,1,1,1,0,0,20151001,20221231
77092,0,0,1,0,1,0,0,20151001,20221231
78246,0,0,0,0,0,0,1,20151101,20221231
78316,1,1,1,1,1,0,0,20151109,20221231
78318,1,1,1,1,1,0,0,20151109,20221231
78357,1,1,1,1,1,1,0,20151109,20221231
78419,0,0,0,0,0,1,1,20151109,20221231
79474,1,1,1,1,1,0,0,20151207,20221231
79929,1,1,1,1,1,0,1,20160201,20221231
79930,0,1,0,0,0,0,0,20160201,20221231
79974,1,1,1,1,1,1,1,20210901,20221231
80000,1,1,1,1,1,1,1,20160201,20221231
80001,1,1,1,1,1,1,1,20160201,20221231
80730,1,1,1,1,1,0,0,20160201,20221231
80796,1,0,1,0,1,0,0,20160201,20221231
80798,1,1,1,1,1,0,0,20160201,20221231
80799,0,0,0,0,0,1,1,20160201,20221231
81033,1,1,0,1,1,0,0,20160201,20221231
81037,0,0,1,0,0,0,0,20160201,20221231
81868,0,1,0,0,0,0,0,20160901,20221231
82248,0,1,0,0,0,0,0,20160314,20240229
83659,0,0,0,0,0,1,1,20160501,20221231
83827,1,1,1,1,1,1,1,20210501,20260430
85091,0,0,1,0,0,0,0,20160701,20221231
85606,1,1,1,1,1,0,0,20160701,20221231
86829,0,0,1,1,0,0,0,20160901,20221231
86865,0,0,0,0,1,0,0,20160901,20221231
86999,0,0,0,0,0,1,0,20160901,20221231
87465,1,0,0,0,0,0,0,20160901,20221231
87471,0,1,0,0,0,0,0,20160901,20221231
87486,0,0,1,1,0,0,0,20160901,20221231
87516,0,0,0,0,0,1,0,20160901,20221231
88185,1,1,1,1,1,0,0,20160901,20221231
89041,0,0,1,0,0,0,0,20220501,20221231
89181,0,0,0,0,0,1,1,20161001,20221231
89182,1,1,1,1,1,1,1,20161001,20221231
89200,1,1,1,1,1,0,0,20161001,20221231
89230,1,1,1,1,1,0,0,20210814,20221231
89268,1,0,0,0,0,0,0,20161001,20220831
89269,1,0,0,0,0,0,0,20161001,20220831
90521,0,0,0,0,1,0,0,20161101,20221231
90595,0,0,1,0,0,0,0,20220501,20221231
90634,1,1,1,1,1,0,0,20161101,20221231
90637,1,1,1,1,1,1,1,20210301,20221231
91028,1,1,1,1,1,0,0,20161101,20221231
91030,0,0,0,0,0,1,1,20161101,20221231
91047,1,1,1,1,1,0,0,20161101,20221231
91049,1,1,1,1,1,1,1,20211108,20221231
91066,1,1,1,1,1,0,0,20161101,20221231
91910,1,1,1,1,1,0,0,20210301,20221231
93328,1,1,1,1,1,0,0,20210301,20221231
93329,0,0,0,0,0,0,1,20210301,20221231
93330,0,0,0,0,0,0,1,20210301,20221231
93807,1,1,1,1,1,1,1,20210301,20221231
93815,1,1,1,1,1,1,1,20210301,20221231
93817,0,0,0,0,0,1,1,20210301,20221231
93822,0,0,0,0,0,1,1,20210301,20221231
93828,1,1,1,1,1,1,0,20210301,20221231
93842,1,1,1,1,1,1,1,20170116,20221231
93843,0,0,0,0,0,0,1,20170116,20221231
94694,1,1,1,1,1,0,0,20170401,20221231
95005,1,1,1,1,1,1,1,20210901,20221231
95006,1,1,1,1,1,0,0,20210901,20221231
95007,0,0,0,0,0,1,1,20210901,20221231
95858,0,0,0,0,0,1,0,20220501,20220930
95863,1,1,1,1,1,1,0,20170501,20221231
99134,1,1,1,1,1,1,0,20170701,20221231
99179,0,1,0,1,0,1,0,20210901,20250621
99187,1,1,0,0,0,1,1,20220701,20220831
100887,1,0,1,0,1,0,0,20170901,20221231
102261,1,1,1,1,1,0,0,20170904,20221231
102262,1,1,1,1,1,0,0,20170904,20221231
102263,0,1,0,0,1,0,0,20170904,20221231
102281,1,0,0,0,1,0,0,20170904,20221231
102282,0,0,1,0,0,0,0,20170904,20221231
102283,0,1,0,1,0,1,0,20170904,20221231
102446,0,0,1,0,0,0,0,20171001,20221231
102481,0,0,0,1,0,0,0,20171001,20221231
102502,1,1,0,0,1,1,0,20171001,20221231
102788,0,0,0,0,0,0,1,20210301,20221231
102795,1,1,1,1,1,1,0,20171001,20220531
103231,1,1,1,1,1,0,0,20171001,20221231
104029,1,1,1,1,1,0,0,20171101,20221231
104091,1,1,1,1,1,0,0,20171016,20230831
104269,0,0,1,0,0,0,0,20220501,20221031
106078,0,0,0,0,0,1,0,20210906,20230506
106079,0,0,0,0,0,1,0,20210906,20230506
106080,0,0,0,0,0,1,0,20210906,20230506
106081,0,0,0,0,0,1,0,20210906,20230506
106082,0,0,0,0,0,1,0,20210906,20230506
106083,0,0,0,0,0,0,1,20210906,20230506
106084,0,0,0,0,0,0,1,20210906,20230506
106085,0,0,0,0,0,0,1,20210906,20230506
106086,0,0,0,0,0,0,1,20210906,20230506
106087,0,0,0,0,0,0,1,20210906,20230506
106943,1,1,1,1,1,0,0,20180101,20240229
106952,1,1,1,1,1,0,0,20180101,20240229
107011,1,1,1,1,1,0,0,20180101,20240229
