fare_id,price,currency_type,payment_method,transfers,agency_id
1,0.80,EUR,0,0,71
2,0.90,EUR,0,0,71
3,0.85,EUR,0,0,71
4,1.10,EUR,0,0,71
5,0.95,EUR,0,0,71
6,1.00,EUR,0,0,71
7,1.05,EUR,0,0,71
8,1.00,EUR,0,0,100047
9,0.90,EUR,0,0,295
10,1.60,EUR,0,0,295
11,2.30,EUR,0,0,100068
12,1.60,EUR,0,0,100068
13,0.90,EUR,0,0,100068
14,1.25,EUR,0,0,60
15,0.65,EUR,0,0,60
16,1.00,EUR,0,0,60
17,0.80,EUR,0,0,60
18,1.05,EUR,0,0,60
19,1.10,EUR,0,0,60
20,0.75,EUR,0,0,60
21,1.15,EUR,0,0,60
22,0.70,EUR,0,0,60
23,1.20,EUR,0,0,60
24,1.30,EUR,0,0,60
25,1.35,EUR,0,0,60
26,0.90,EUR,0,0,60
27,0.95,EUR,0,0,60
28,0.85,EUR,0,0,60
29,1.40,EUR,0,0,60
30,1.45,EUR,0,0,60
31,1.60,EUR,0,0,60
32,1.65,EUR,0,0,60
33,1.55,EUR,0,0,60
34,1.50,EUR,0,0,60
35,1.70,EUR,0,0,60
36,2.30,EUR,0,0,295
37,3.00,EUR,0,0,295
38,1.00,EUR,0,0,31
39,1.75,EUR,0,0,60
40,1.90,EUR,0,0,60
41,1.95,EUR,0,0,60
42,2.15,EUR,0,0,60
43,1.80,EUR,0,0,60
44,2.10,EUR,0,0,60
45,2.05,EUR,0,0,60
46,1.85,EUR,0,0,60
47,2.00,EUR,0,0,60
48,2.20,EUR,0,0,60
49,0.90,EUR,0,0,50
50,1.60,EUR,0,0,50
51,1.00,EUR,0,0,50
52,3.00,EUR,0,0,60
53,2.55,EUR,0,0,60
54,2.40,EUR,0,0,60
55,2.45,EUR,0,0,60
56,2.30,EUR,0,0,60
57,2.35,EUR,0,0,60
58,2.50,EUR,0,0,60
59,2.25,EUR,0,0,60
60,2.30,EUR,0,0,50
61,1.05,EUR,0,0,317
62,1.00,EUR,0,0,317
63,0.60,EUR,0,0,317
64,1.50,EUR,0,0,317
65,0.55,EUR,0,0,317
66,2.00,EUR,0,0,317
67,2.35,EUR,0,0,317
68,0.40,EUR,0,0,317
69,2.20,EUR,0,0,317
70,0.95,EUR,0,0,317
71,0.90,EUR,0,0,317
72,2.75,EUR,0,0,317
73,0.85,EUR,0,0,317
74,0.50,EUR,0,0,317
75,1.35,EUR,0,0,317
76,0.80,EUR,0,0,317
77,1.10,EUR,0,0,317
78,1.75,EUR,0,0,317
79,3.55,EUR,0,0,317
80,1.40,EUR,0,0,317
81,2.95,EUR,0,0,317
82,1.45,EUR,0,0,317
83,0.45,EUR,0,0,317
84,1.30,EUR,0,0,317
85,1.90,EUR,0,0,317
86,2.15,EUR,0,0,317
87,2.30,EUR,0,0,317
88,3.05,EUR,0,0,317
89,2.80,EUR,0,0,317
90,0.70,EUR,0,0,317
91,2.65,EUR,0,0,317
92,2.70,EUR,0,0,317
93,1.70,EUR,0,0,317
94,1.85,EUR,0,0,317
95,2.45,EUR,0,0,317
96,1.55,EUR,0,0,317
97,3.25,EUR,0,0,317
98,1.20,EUR,0,0,317
99,2.60,EUR,0,0,317
100,2.85,EUR,0,0,317
101,0.75,EUR,0,0,317
102,2.40,EUR,0,0,317
103,1.65,EUR,0,0,317
104,0.65,EUR,0,0,317
105,1.15,EUR,0,0,317
106,2.05,EUR,0,0,317
107,3.45,EUR,0,0,317
108,2.50,EUR,0,0,317
109,3.10,EUR,0,0,317
110,2.25,EUR,0,0,317
111,0.35,EUR,0,0,317
112,1.25,EUR,0,0,317
113,1.60,EUR,0,0,317
114,1.95,EUR,0,0,317
115,3.15,EUR,0,0,317
116,2.55,EUR,0,0,317
117,3.00,EUR,0,0,317
118,3.35,EUR,0,0,317
119,2.90,EUR,0,0,317
120,2.10,EUR,0,0,317
121,1.80,EUR,0,0,317
122,3.60,EUR,0,0,317
123,0.30,EUR,0,0,317
124,3.30,EUR,0,0,317
125,3.20,EUR,0,0,317
126,3.40,EUR,0,0,317
127,3.50,EUR,0,0,317
128,1.65,EUR,0,0,71
129,2.30,EUR,0,0,71
130,1.40,EUR,0,0,71
131,1.60,EUR,0,0,71
132,2.10,EUR,0,0,71
133,2.20,EUR,0,0,71
134,1.70,EUR,0,0,71
135,1.15,EUR,0,0,71
136,1.55,EUR,0,0,71
137,2.70,EUR,0,0,71
138,1.95,EUR,0,0,71
139,1.75,EUR,0,0,71
140,1.80,EUR,0,0,71
141,1.35,EUR,0,0,71
142,2.65,EUR,0,0,71
143,1.20,EUR,0,0,71
144,2.80,EUR,0,0,71
145,2.75,EUR,0,0,71
146,2.45,EUR,0,0,71
147,2.40,EUR,0,0,71
148,1.90,EUR,0,0,71
149,2.25,EUR,0,0,71
150,1.45,EUR,0,0,71
151,1.85,EUR,0,0,71
152,2.15,EUR,0,0,71
153,1.50,EUR,0,0,71
154,2.00,EUR,0,0,71
155,1.25,EUR,0,0,71
156,2.50,EUR,0,0,71
157,2.85,EUR,0,0,71
158,1.30,EUR,0,0,71
159,2.05,EUR,0,0,71
160,2.55,EUR,0,0,71
161,2.35,EUR,0,0,71
162,2.60,EUR,0,0,71
163,3.00,EUR,0,0,50
164,3.70,EUR,0,0,295
165,2.95,EUR,0,0,71
166,3.15,EUR,0,0,71
167,2.90,EUR,0,0,71
168,3.10,EUR,0,0,71
169,3.00,EUR,0,0,71
170,3.05,EUR,0,0,71
171,3.70,EUR,0,0,317
172,4.40,EUR,0,0,317
173,5.10,EUR,0,0,317
174,0.67,EUR,0,0,60
175,3.70,EUR,0,0,71
176,3.20,EUR,0,0,71
177,3.50,EUR,0,0,71
178,3.40,EUR,0,0,71
179,3.60,EUR,0,0,71
180,3.30,EUR,0,0,71
181,0.80,EUR,0,0,50
182,0.95,EUR,0,0,50
183,1.95,EUR,0,0,50
184,2.20,EUR,0,0,50
185,1.70,EUR,0,0,50
186,1.65,EUR,0,0,50
187,1.05,EUR,0,0,50
188,2.05,EUR,0,0,50
189,1.30,EUR,0,0,50
190,1.10,EUR,0,0,50
191,1.75,EUR,0,0,50
192,2.25,EUR,0,0,50
193,1.90,EUR,0,0,50
194,1.15,EUR,0,0,50
195,1.50,EUR,0,0,50
196,1.35,EUR,0,0,50
197,1.55,EUR,0,0,50
198,2.15,EUR,0,0,50
199,2.00,EUR,0,0,50
200,1.85,EUR,0,0,50
201,2.50,EUR,0,0,50
202,1.40,EUR,0,0,50
203,0.85,EUR,0,0,50
204,1.25,EUR,0,0,50
205,2.45,EUR,0,0,50
206,1.80,EUR,0,0,50
207,1.20,EUR,0,0,50
208,1.45,EUR,0,0,50
209,2.35,EUR,0,0,50
210,2.40,EUR,0,0,50
211,2.10,EUR,0,0,50
212,2.55,EUR,0,0,50
213,3.45,EUR,0,0,71
214,3.55,EUR,0,0,71
215,3.35,EUR,0,0,71
216,3.25,EUR,0,0,71
217,3.65,EUR,0,0,71
218,3.20,EUR,0,0,50
219,6.30,EUR,0,0,50
220,5.50,EUR,0,0,50
221,5.70,EUR,0,0,50
222,5.90,EUR,0,0,50
223,6.10,EUR,0,0,50
224,2.70,EUR,0,0,50
225,4.00,EUR,0,0,50
226,5.30,EUR,0,0,50
227,4.10,EUR,0,0,50
228,3.30,EUR,0,0,50
229,3.80,EUR,0,0,50
230,5.80,EUR,0,0,50
231,3.60,EUR,0,0,50
232,5.40,EUR,0,0,50
233,3.90,EUR,0,0,50
234,7.00,EUR,0,0,50
235,2.80,EUR,0,0,50
236,5.10,EUR,0,0,50
237,3.50,EUR,0,0,50
238,2.90,EUR,0,0,50
239,4.30,EUR,0,0,50
240,5.00,EUR,0,0,50
241,4.60,EUR,0,0,50
242,4.70,EUR,0,0,50
243,2.60,EUR,0,0,50
244,3.10,EUR,0,0,50
245,6.40,EUR,0,0,50
246,6.70,EUR,0,0,50
247,6.90,EUR,0,0,50
248,4.40,EUR,0,0,50
249,4.20,EUR,0,0,50
250,3.40,EUR,0,0,50
251,3.70,EUR,0,0,50
252,6.20,EUR,0,0,50
253,4.80,EUR,0,0,50
254,7.40,EUR,0,0,50
255,8.60,EUR,0,0,50
256,7.30,EUR,0,0,50
257,0.70,EUR,0,0,50
258,7.60,EUR,0,0,50
259,6.80,EUR,0,0,50
260,6.00,EUR,0,0,50
261,2.65,EUR,0,0,50
262,3.65,EUR,0,0,60
263,4.70,EUR,0,0,60
264,4.45,EUR,0,0,60
265,5.55,EUR,0,0,60
266,3.30,EUR,0,0,60
267,3.70,EUR,0,0,60
268,3.45,EUR,0,0,60
269,4.60,EUR,0,0,60
270,3.20,EUR,0,0,60
271,3.75,EUR,0,0,60
272,3.40,EUR,0,0,60
273,2.85,EUR,0,0,60
274,5.50,EUR,0,0,60
275,5.05,EUR,0,0,60
276,5.45,EUR,0,0,60
277,3.05,EUR,0,0,60
278,3.95,EUR,0,0,60
279,3.10,EUR,0,0,60
280,3.85,EUR,0,0,60
281,5.15,EUR,0,0,60
282,5.20,EUR,0,0,60
283,4.25,EUR,0,0,60
284,4.30,EUR,0,0,60
285,5.40,EUR,0,0,60
286,2.60,EUR,0,0,60
287,2.95,EUR,0,0,60
288,4.20,EUR,0,0,60
289,3.35,EUR,0,0,60
290,4.95,EUR,0,0,60
291,5.30,EUR,0,0,60
292,4.35,EUR,0,0,60
293,4.10,EUR,0,0,60
294,4.00,EUR,0,0,317
295,5.00,EUR,0,0,317
296,4.50,EUR,0,0,317
297,4.55,EUR,0,0,317
298,4.15,EUR,0,0,317
299,3.85,EUR,0,0,317
300,4.70,EUR,0,0,317
301,4.05,EUR,0,0,317
302,4.60,EUR,0,0,317
303,3.75,EUR,0,0,317
304,4.85,EUR,0,0,317
305,3.80,EUR,0,0,317
306,4.20,EUR,0,0,317
307,4.75,EUR,0,0,317
308,4.35,EUR,0,0,317
309,4.90,EUR,0,0,317
310,3.65,EUR,0,0,317
311,4.45,EUR,0,0,317
312,4.25,EUR,0,0,317
313,4.65,EUR,0,0,317
314,4.30,EUR,0,0,317
315,3.90,EUR,0,0,317
316,4.10,EUR,0,0,317
317,3.95,EUR,0,0,317
318,5.15,EUR,0,0,317
319,4.95,EUR,0,0,317
320,4.80,EUR,0,0,317
321,5.05,EUR,0,0,317
322,6.55,EUR,0,0,317
323,8.90,EUR,0,0,317
324,5.20,EUR,0,0,317
325,7.25,EUR,0,0,317
326,9.00,EUR,0,0,317
327,10.70,EUR,0,0,317
328,7.15,EUR,0,0,317
329,10.60,EUR,0,0,317
330,5.30,EUR,0,0,317
331,8.40,EUR,0,0,317
332,10.40,EUR,0,0,317
333,7.05,EUR,0,0,317
334,8.20,EUR,0,0,317
335,9.55,EUR,0,0,317
336,10.10,EUR,0,0,317
337,6.60,EUR,0,0,317
338,7.30,EUR,0,0,317
339,10.90,EUR,0,0,317
340,5.90,EUR,0,0,317
341,8.05,EUR,0,0,317
342,5.50,EUR,0,0,317
343,5.55,EUR,0,0,317
344,5.85,EUR,0,0,317
345,10.50,EUR,0,0,317
346,5.35,EUR,0,0,317
347,6.35,EUR,0,0,317
348,5.40,EUR,0,0,317
349,8.85,EUR,0,0,317
350,7.35,EUR,0,0,317
351,9.05,EUR,0,0,317
352,5.70,EUR,0,0,317
353,6.90,EUR,0,0,317
354,5.75,EUR,0,0,317
355,6.75,EUR,0,0,317
356,9.20,EUR,0,0,317
357,6.25,EUR,0,0,317
358,9.95,EUR,0,0,317
359,9.45,EUR,0,0,317
360,6.05,EUR,0,0,317
361,7.60,EUR,0,0,317
362,6.95,EUR,0,0,317
363,6.15,EUR,0,0,317
364,8.55,EUR,0,0,317
365,6.70,EUR,0,0,317
366,5.45,EUR,0,0,317
367,6.00,EUR,0,0,317
368,7.50,EUR,0,0,317
369,5.80,EUR,0,0,317
